round_id,round_dir,experiment_family,config_label,selected_block,change_path,change_before,change_after,tuning_action,tuning_reason_code,promotion_gate_passed,games,rank,wins,losses,draws,win_rate,average_response_ms,legal_rate,timeout_rate,error_rate,interface_success_rate,prescreen_score_difference,prescreen_mean_score_a,prescreen_mean_score_b,same_round_score,sevo
final_catarena_acceptance_001,reports/catarena_platform/final_catarena_acceptance_001,catarena_platform,final_catarena_acceptance_001,,,,,skipped,no_active_block,False,2,1,0,0,2,0.5,96.40692500000003,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,-0.0005173263086892736
final_catarena_acceptance_002,reports/catarena_platform/final_catarena_acceptance_002,catarena_platform,final_catarena_acceptance_002,,,,,skipped,no_active_block,False,2,1,0,0,2,0.5,96.3744625,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,-0.0005753980708471953
final_catarena_acceptance_003,reports/catarena_platform/final_catarena_acceptance_003,catarena_platform,final_catarena_acceptance_003,,,,,skipped,no_active_block,False,2,1,0,0,2,0.5,96.36726923076921,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,-0.0006314495303352986
live_openai_safe_001,reports/catarena_platform/live_openai_safe_001,catarena_platform,live_openai_safe_001,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,6.608454545454548,1.0,0.0,0.0,1.0,,,,1.0,0.011886669561441599
live_openai_safe_002,reports/catarena_platform/live_openai_safe_002,catarena_platform,live_openai_safe_002,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,10.215390243902437,1.0,0.0,0.0,1.0,,,,1.0,0.011734693877551024
live_openai_safe_003,reports/catarena_platform/live_openai_safe_003,catarena_platform,live_openai_safe_003,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,11.780170731707317,1.0,0.0,0.0,1.0,,,,1.0,0.011572629051620646
live_openai_safe_004,reports/catarena_platform/live_openai_safe_004,catarena_platform,live_openai_safe_004,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,7.768259259259259,1.0,0.0,0.0,1.0,,,,1.0,0.011402714932126697
live_openai_safe_005,reports/catarena_platform/live_openai_safe_005,catarena_platform,live_openai_safe_005,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.83604761904762,1.0,0.0,0.0,1.0,,,,1.0,0.011226841970460172
live_openai_safe_006,reports/catarena_platform/live_openai_safe_006,catarena_platform,live_openai_safe_006,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.522333333333332,1.0,0.0,0.0,1.0,,,,1.0,0.011046605386228023
live_openai_safe_007,reports/catarena_platform/live_openai_safe_007,catarena_platform,live_openai_safe_007,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,9.73932258064516,1.0,0.0,0.0,1.0,,,,1.0,0.010863350485991996
live_openai_safe_008,reports/catarena_platform/live_openai_safe_008,catarena_platform,live_openai_safe_008,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.422823529411764,1.0,0.0,0.0,1.0,,,,1.0,0.010678210678210679
live_openai_safe_009,reports/catarena_platform/live_openai_safe_009,catarena_platform,live_openai_safe_009,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.028161290322582,1.0,0.0,0.0,1.0,,,,1.0,0.01049213943950786
live_openai_safe_010,reports/catarena_platform/live_openai_safe_010,catarena_platform,live_openai_safe_010,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,7.241999999999999,1.0,0.0,0.0,1.0,,,,1.0,0.010305937256935443
live_openai_safe_011,reports/catarena_platform/live_openai_safe_011,catarena_platform,live_openai_safe_011,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.734000000000001,1.0,0.0,0.0,1.0,,,,1.0,0.010120274385554767
live_openai_safe_012,reports/catarena_platform/live_openai_safe_012,catarena_platform,live_openai_safe_012,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.260676470588236,1.0,0.0,0.0,1.0,,,,1.0,0.009935710111046173
live_openai_safe_013,reports/catarena_platform/live_openai_safe_013,catarena_platform,live_openai_safe_013,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,4.42275,1.0,0.0,0.0,1.0,,,,1.0,0.00975270908585718
live_openai_safe_014,reports/catarena_platform/live_openai_safe_014,catarena_platform,live_openai_safe_014,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,4.982600000000001,1.0,0.0,0.0,1.0,,,,1.0,0.009571655208884183
live_openai_safe_015,reports/catarena_platform/live_openai_safe_015,catarena_platform,live_openai_safe_015,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.285222222222222,1.0,0.0,0.0,1.0,,,,1.0,0.00939286343834202
live_openai_safe_016,reports/catarena_platform/live_openai_safe_016,catarena_platform,live_openai_safe_016,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.033741935483872,1.0,0.0,0.0,1.0,,,,1.0,0.009216589861751152
live_openai_safe_017,reports/catarena_platform/live_openai_safe_017,catarena_platform,live_openai_safe_017,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.129571428571429,1.0,0.0,0.0,1.0,,,,1.0,0.009043040293040294
live_openai_safe_018,reports/catarena_platform/live_openai_safe_018,catarena_platform,live_openai_safe_018,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,7.141913043478262,1.0,0.0,0.0,1.0,,,,1.0,0.008872377622377622
live_openai_safe_019,reports/catarena_platform/live_openai_safe_019,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,hold,no_gate_cross,,2,1,2,0,0,1.0,7.61057575757576,1.0,0.0,0.0,1.0,,,,1.0,0.008704728107713182
live_openai_safe_020,reports/catarena_platform/live_openai_safe_020,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,hold,no_gate_cross,,2,1,2,0,0,1.0,9.89508108108108,1.0,0.0,0.0,1.0,,,,1.0,0.008540186766701253
live_openai_safe_021,reports/catarena_platform/live_openai_safe_021,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,freeze,no_gate_cross,,2,1,2,0,0,1.0,4.840821428571428,1.0,0.0,0.0,1.0,,,,1.0,0.008378822002519371
live_openai_safe_022,reports/catarena_platform/live_openai_safe_022,catarena_platform,live_openai_safe_022,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.368096774193548,1.0,0.0,0.0,1.0,,,,1.0,0.008220679576178298
live_openai_safe_023,reports/catarena_platform/live_openai_safe_023,catarena_platform,live_openai_safe_023,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,7.696657894736841,1.0,0.0,0.0,1.0,,,,1.0,0.00806578602047065
live_openai_safe_024,reports/catarena_platform/live_openai_safe_024,catarena_platform,live_openai_safe_024,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,7.142906976744189,1.0,0.0,0.0,1.0,,,,1.0,0.007914151576123405
live_openai_safe_025,reports/catarena_platform/live_openai_safe_025,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,hold,no_gate_cross,,2,1,2,0,0,1.0,5.288085714285714,1.0,0.0,0.0,1.0,,,,1.0,0.007765772718502798
live_openai_safe_026,reports/catarena_platform/live_openai_safe_026,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,hold,no_gate_cross,,2,1,2,0,0,1.0,3.9324864864864875,1.0,0.0,0.0,1.0,,,,1.0,0.0076206343329631
live_openai_safe_027,reports/catarena_platform/live_openai_safe_027,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,freeze,no_gate_cross,,2,1,2,0,0,1.0,5.252111111111109,1.0,0.0,0.0,1.0,,,,1.0,0.007478711588300629
live_openai_safe_028,reports/catarena_platform/live_openai_safe_028,catarena_platform,live_openai_safe_028,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,4.2408,1.0,0.0,0.0,1.0,,,,1.0,0.007339971550497866
live_openai_safe_029,reports/catarena_platform/live_openai_safe_029,catarena_platform,live_openai_safe_029,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,8.831272727272728,1.0,0.0,0.0,1.0,,,,1.0,0.007204374572795624
live_openai_safe_030,reports/catarena_platform/live_openai_safe_030,catarena_platform,live_openai_safe_030,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,6.549249999999999,1.0,0.0,0.0,1.0,,,,1.0,0.007071875492928125
live_openai_safe_031,reports/catarena_platform/live_openai_safe_031,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,hold,no_gate_cross,,2,1,2,0,0,1.0,4.248022222222224,1.0,0.0,0.0,1.0,,,,1.0,0.006942424663943651
live_openai_safe_032,reports/catarena_platform/live_openai_safe_032,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,hold,no_gate_cross,,2,1,2,0,0,1.0,4.265454545454544,1.0,0.0,0.0,1.0,,,,1.0,0.006815968841285295
live_openai_safe_033,reports/catarena_platform/live_openai_safe_033,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,freeze,no_gate_cross,,2,1,2,0,0,1.0,5.139351351351351,1.0,0.0,0.0,1.0,,,,1.0,0.006692451945616503
live_openai_safe_034,reports/catarena_platform/live_openai_safe_034,catarena_platform,live_openai_safe_034,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,6.076,1.0,0.0,0.0,1.0,,,,1.0,0.006571815718157183
live_openai_safe_035,reports/catarena_platform/live_openai_safe_035,catarena_platform,live_openai_safe_035,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,7.385,1.0,0.0,0.0,1.0,,,,1.0,0.006454000282974719
live_openai_safe_036,reports/catarena_platform/live_openai_safe_036,catarena_platform,live_openai_safe_036,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,4.8026363636363625,1.0,0.0,0.0,1.0,,,,1.0,0.006338944628688974
live_openai_safe_037,reports/catarena_platform/live_openai_safe_037,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,hold,no_gate_cross,,2,1,2,0,0,1.0,4.381874999999999,1.0,0.0,0.0,1.0,,,,1.0,0.0062265870203503096
live_openai_safe_038,reports/catarena_platform/live_openai_safe_038,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,hold,no_gate_cross,,2,1,2,0,0,1.0,4.592931034482758,1.0,0.0,0.0,1.0,,,,1.0,0.006116865350791479
live_openai_safe_039,reports/catarena_platform/live_openai_safe_039,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,freeze,no_gate_cross,,2,1,2,0,0,1.0,4.648370370370371,1.0,0.0,0.0,1.0,,,,1.0,0.006009717439501866
live_openai_safe_040,reports/catarena_platform/live_openai_safe_040,catarena_platform,live_openai_safe_040,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,3.7490416666666655,1.0,0.0,0.0,1.0,,,,1.0,0.00590508128599548
live_openai_safe_041,reports/catarena_platform/live_openai_safe_041,catarena_platform,live_openai_safe_041,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.0888,1.0,0.0,0.0,1.0,,,,1.0,0.005802895283716671
live_openai_safe_042,reports/catarena_platform/live_openai_safe_042,catarena_platform,live_openai_safe_042,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.357621621621621,1.0,0.0,0.0,1.0,,,,1.0,0.005703098399727613
live_openai_safe_043,reports/catarena_platform/live_openai_safe_043,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,hold,no_gate_cross,,2,1,2,0,0,1.0,3.5020740740740752,1.0,0.0,0.0,1.0,,,,1.0,0.005605630324731448
live_openai_safe_044,reports/catarena_platform/live_openai_safe_044,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,hold,no_gate_cross,,2,1,2,0,0,1.0,2.189047619047619,1.0,0.0,0.0,1.0,,,,1.0,0.00551043159738812
live_openai_safe_045,reports/catarena_platform/live_openai_safe_045,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,freeze,no_gate_cross,,2,1,2,0,0,1.0,4.716625000000001,1.0,0.0,0.0,1.0,,,,1.0,0.005417443706363763
live_openai_safe_046,reports/catarena_platform/live_openai_safe_046,catarena_platform,live_openai_safe_046,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,3.139444444444444,1.0,0.0,0.0,1.0,,,,1.0,0.005326609173107338
live_openai_safe_047,reports/catarena_platform/live_openai_safe_047,catarena_platform,live_openai_safe_047,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,3.9531818181818177,1.0,0.0,0.0,1.0,,,,1.0,0.00523787161796048
live_openai_safe_048,reports/catarena_platform/live_openai_safe_048,catarena_platform,live_openai_safe_048,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,3.6437307692307694,1.0,0.0,0.0,1.0,,,,1.0,0.0051511758118701
live_openai_safe_049,reports/catarena_platform/live_openai_safe_049,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,hold,no_gate_cross,,2,1,2,0,0,1.0,3.7458749999999994,1.0,0.0,0.0,1.0,,,,1.0,0.0050664677156809544
live_openai_safe_050,reports/catarena_platform/live_openai_safe_050,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,hold,no_gate_cross,,2,1,2,0,0,1.0,5.716666666666665,1.0,0.0,0.0,1.0,,,,1.0,0.004983694508731327
live_openai_safe_051,reports/catarena_platform/live_openai_safe_051,catarena_platform,move_ordering.center_pawn_development_bonus: 18->20,search.history_order,move_ordering.center_pawn_development_bonus,18,20,freeze,no_gate_cross,,2,1,2,0,0,1.0,5.477705882352942,1.0,0.0,0.0,1.0,,,,1.0,0.004902804608253798
live_openai_safe_052,reports/catarena_platform/live_openai_safe_052,catarena_platform,live_openai_safe_052,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,2.661722222222222,1.0,0.0,0.0,1.0,,,,1.0,0.004823747680890537
live_openai_safe_053,reports/catarena_platform/live_openai_safe_053,catarena_platform,live_openai_safe_053,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,3.0218214285714287,1.0,0.0,0.0,1.0,,,,1.0,0.004746474647464747
live_openai_safe_054,reports/catarena_platform/live_openai_safe_054,catarena_platform,live_openai_safe_054,,,,,skipped,no_active_block,,2,1,2,0,0,1.0,5.065610169491524,1.0,0.0,0.0,1.0,,,,1.0,0.004670937682003495
